 Number	Time[sec]	Conduct[uS]	TempWater[C]
    486	  3936.60	       3.09	      22.70	
    487	  3944.70	       3.08	      22.70	
    488	  3952.80	       3.07	      22.70	
    489	  3960.90	       3.04	      22.70	
    490	  3969.00	       3.04	      22.70	
    491	  3977.10	       3.02	      22.70	
    492	  3985.20	       3.00	      22.70	
    493	  3993.30	       2.99	      22.70	
    494	  4001.40	       2.97	      22.70	
    495	  4009.50	       2.96	      22.70	
    496	  4017.60	       2.94	      22.70	
    497	  4025.70	       2.93	      22.70	
    498	  4033.80	       2.92	      22.70	
    499	  4041.90	       2.90	      22.70	
    500	  4050.00	       2.88	      22.70	
    501	  4058.10	       2.87	      22.70	
    502	  4066.20	       2.86	      22.70	
    503	  4074.30	       2.85	      22.70	
    504	  4082.40	       2.83	      22.70	
    505	  4090.50	       2.81	      22.70	
    506	  4098.60	       2.80	      22.70	
    507	  4106.70	       2.79	      22.70	
    508	  4114.80	       2.77	      22.70	
    509	  4122.90	       2.76	      22.70	
    510	  4131.00	       2.75	      22.70	
    511	  4139.10	       2.73	      22.70	
    512	  4147.20	       2.72	      22.70	
    513	  4155.30	       2.70	      22.70	
    514	  4163.40	       2.70	      22.70	
    515	  4171.50	       2.68	      22.70	
    516	  4179.60	       2.67	      22.70	
    517	  4187.70	       2.65	      22.70	
    518	  4195.80	       2.64	      22.70	
    519	  4203.90	       2.63	      22.70	
    520	  4212.00	       2.61	      22.70	
    521	  4220.10	       2.60	      22.70	
    522	  4228.20	       2.59	      22.70	
    523	  4236.30	       2.58	      22.70	
    524	  4244.40	       2.57	      22.70	
    525	  4252.50	       2.55	      22.70	
    526	  4260.60	       2.54	      22.70	
    527	  4268.70	       2.54	      22.70	
    528	  4276.80	       2.52	      22.70	
    529	  4284.90	       2.50	      22.70	
    530	  4293.00	       2.50	      22.70	
    531	  4301.10	       2.48	      22.70	
    532	  4309.20	       2.47	      22.70	
    533	  4317.30	       2.46	      22.70	
    534	  4325.40	       2.45	      22.70	
    535	  4333.50	       2.44	      22.70	
    536	  4341.60	       2.42	      22.70	
    537	  4349.70	       2.42	      22.70	
    538	  4357.80	       2.40	      22.70	
    539	  4365.90	       2.39	      22.70	
    540	  4374.00	       2.38	      22.70	
    541	  4382.10	       2.36	      22.70	
    542	  4390.20	       2.35	      22.70	
    543	  4398.30	       2.35	      22.70	
    544	  4406.40	       2.33	      22.70	
    545	  4414.50	       2.32	      22.70	
    546	  4422.60	       2.31	      22.70	
    547	  4430.70	       2.29	      22.70	
    548	  4438.80	       2.28	      22.70	
    549	  4446.90	       2.28	      22.70	
    550	  4455.00	       2.26	      22.80	
    551	  4463.10	       2.26	      22.80	
    552	  4471.20	       2.24	      22.80	
    553	  4479.30	       2.24	      22.80	
    554	  4487.40	       2.23	      22.80	
    555	  4495.50	       2.21	      22.80	
    556	  4503.60	       2.20	      22.80	
    557	  4511.70	       2.19	      22.80	
    558	  4519.80	       2.18	      22.80	
    559	  4527.90	       2.17	      22.80	
    560	  4536.00	       2.16	      22.80	
    561	  4544.10	       2.15	      22.80	
    562	  4552.20	       2.14	      22.80	
    563	  4560.30	       2.13	      22.80	
    564	  4568.40	       2.12	      22.80	
    565	  4576.50	       2.11	      22.80	
    566	  4584.60	       2.11	      22.80	
    567	  4592.70	       2.09	      22.80	
    568	  4600.80	       2.07	      22.80	
    569	  4608.90	       2.07	      22.80	
    570	  4617.00	       2.06	      22.80	
    571	  4625.10	       2.05	      22.80	
    572	  4633.20	       2.04	      22.80	
    573	  4641.30	       2.03	      22.80	
    574	  4649.40	       2.03	      22.80	
    575	  4657.50	       2.01	      22.80	
    576	  4665.60	       2.00	      22.80	
    577	  4673.70	       2.00	      22.80	
    578	  4681.80	       1.99	      22.80	
    579	  4689.90	       1.97	      22.80	
    580	  4698.00	       1.97	      22.80	
    581	  4706.10	       1.96	      22.80	
    582	  4714.20	       1.95	      22.80	
    583	  4722.30	       1.94	      22.80	
    584	  4730.40	       1.93	      22.80	
    585	  4738.50	       1.92	      22.80	
    586	  4746.60	       1.91	      22.80	
    587	  4754.70	       1.90	      22.80	
    588	  4762.80	       1.90	      22.80	
    589	  4770.90	       1.89	      22.80	
    590	  4779.00	       1.88	      22.80	
    591	  4787.10	       1.87	      22.80	
    592	  4795.20	       1.86	      22.80	
    593	  4803.30	       1.85	      22.80	
    594	  4811.40	       1.84	      22.80	
    595	  4819.50	       1.84	      22.80	
    596	  4827.60	       1.83	      22.80	
    597	  4835.70	       1.82	      22.80	
    598	  4843.80	       1.81	      22.80	
    599	  4851.90	       1.81	      22.80	
    600	  4860.00	       1.79	      22.80	
    601	  4868.10	       1.79	      22.80	
    602	  4876.20	       1.78	      22.80	
    603	  4884.30	       1.77	      22.80	
    604	  4892.40	       1.76	      22.80	
    605	  4900.50	       1.75	      22.80	
    606	  4908.60	       1.75	      22.80	
    607	  4916.70	       1.74	      22.80	
    608	  4924.80	       1.73	      22.80	
    609	  4932.90	       1.72	      22.80	
    610	  4941.00	       1.71	      22.80	
    611	  4949.10	       1.71	      22.80	
    612	  4957.20	       1.70	      22.80	
    613	  4965.30	       1.69	      22.80	
    614	  4973.40	       1.69	      22.80	
    615	  4981.50	       1.68	      22.80	
    616	  4989.60	       1.68	      22.80	
    617	  4997.70	       1.67	      22.80	
    618	  5005.80	       1.65	      22.80	
    619	  5013.90	       1.65	      22.80	
    620	  5022.00	       1.64	      22.80	
    621	  5030.10	       1.63	      22.80	
    622	  5038.20	       1.63	      22.80	
    623	  5046.30	       1.62	      22.80	
    624	  5054.40	       1.61	      22.80	
    625	  5062.50	       1.61	      22.80	
    626	  5070.60	       1.60	      22.80	
    627	  5078.70	       1.59	      22.80	
    628	  5086.80	       1.58	      22.80	
    629	  5094.90	       1.58	      22.80	
    630	  5103.00	       1.57	      22.80	
    631	  5111.10	       1.56	      22.80	
    632	  5119.20	       1.56	      22.80	
    633	  5127.30	       1.55	      22.80	
    634	  5135.40	       1.54	      22.80	
    635	  5143.50	       1.54	      22.80	
    636	  5151.60	       1.53	      22.80	
    637	  5159.70	       1.52	      22.80	
    638	  5167.80	       1.52	      22.80	
    639	  5175.90	       1.51	      22.80	
    640	  5184.00	       1.50	      22.80	
    641	  5192.10	       1.49	      22.80	
    642	  5200.20	       1.49	      22.80	
    643	  5208.30	       1.49	      22.80	
    644	  5216.40	       1.48	      22.80	
    645	  5224.50	       1.47	      22.80	
    646	  5232.60	       1.47	      22.80	
    647	  5240.70	       1.46	      22.80	
    648	  5248.80	       1.45	      22.80	
    649	  5256.90	       1.45	      22.80	
    650	  5265.00	       1.43	      22.80	
    651	  5273.10	       1.43	      22.80	
    652	  5281.20	       1.43	      22.80	
    653	  5289.30	       1.42	      22.80	
    654	  5297.40	       1.41	      22.80	
    655	  5305.50	       1.41	      22.80	
    656	  5313.60	       1.41	      22.80	
    657	  5321.70	       1.40	      22.80	
    658	  5329.80	       1.38	      22.80	
    659	  5337.90	       1.38	      22.80	
    660	  5346.00	       1.38	      22.80	
    661	  5354.10	       1.37	      22.80	
    662	  5362.20	       1.37	      22.80	
    663	  5370.30	       1.36	      22.80	
