 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
91.000000 	373.640015 	-0.715537 	96.756943 	1.995774 	2.626390 	-1.#IND00 	-1.#IND00 	
92.000000 	374.010010 	-0.619098 	96.534721 	2.089734 	2.723090 	-1.#IND00 	-1.#IND00 	
93.000000 	374.390015 	-0.711458 	97.670830 	2.080253 	2.732291 	-1.#IND00 	-1.#IND00 	
94.000000 	374.760010 	-0.728127 	97.937500 	1.994020 	2.713540 	-1.#IND00 	-1.#IND00 	
95.000000 	375.140015 	-0.818316 	97.284721 	1.928864 	2.546007 	-1.#IND00 	-1.#IND00 	
96.000000 	375.519989 	-0.747136 	96.754166 	1.996377 	2.606249 	-1.#IND00 	-1.#IND00 	
97.000000 	375.890015 	-0.684722 	96.847221 	2.008212 	2.675173 	-1.#IND00 	-1.#IND00 	
98.000000 	376.269989 	-0.602169 	96.713890 	2.017633 	2.710070 	-1.#IND00 	-1.#IND00 	
99.000000 	376.640015 	-0.612760 	96.666664 	2.042572 	2.657292 	-1.#IND00 	-1.#IND00 	
100.000000 	377.019989 	-0.645315 	96.625000 	2.034239 	2.746354 	-1.#IND00 	-1.#IND00 	
101.000000 	377.390015 	-0.634809 	96.677780 	1.993417 	2.725867 	-1.#IND00 	-1.#IND00 	
102.000000 	377.769989 	-0.624392 	96.661110 	2.010627 	2.793576 	-1.#IND00 	-1.#IND00 	
103.000000 	378.140015 	-0.657117 	96.793053 	1.965096 	2.746006 	-1.#IND00 	-1.#IND00 	
104.000000 	378.519989 	-0.513107 	96.713890 	2.113828 	2.794445 	-1.#IND00 	-1.#IND00 	
105.000000 	378.890015 	-0.679168 	97.304169 	2.064311 	2.802083 	-1.#IND00 	-1.#IND00 	
106.000000 	379.269989 	-0.589149 	97.343056 	2.097705 	2.739757 	-1.#IND00 	-1.#IND00 	
107.000000 	379.640015 	-0.390799 	97.186111 	2.254106 	2.895660 	-1.#IND00 	-1.#IND00 	
108.000000 	380.019989 	-0.317277 	97.405556 	2.293356 	2.953818 	-1.#IND00 	-1.#IND00 	
109.000000 	380.399994 	-0.364497 	97.327782 	2.298309 	2.909201 	-1.#IND00 	-1.#IND00 	
110.000000 	380.769989 	-0.281163 	97.006943 	2.255011 	2.920659 	-1.#IND00 	-1.#IND00 	
111.000000 	381.149994 	-0.448005 	98.384720 	2.283211 	2.971006 	-1.#IND00 	-1.#IND00 	
112.000000 	381.519989 	-0.497830 	99.511108 	2.255193 	2.906076 	-1.#IND00 	-1.#IND00 	
113.000000 	381.899994 	-0.298526 	98.318054 	2.281400 	2.882465 	-1.#IND00 	-1.#IND00 	
114.000000 	382.269989 	-0.205468 	97.337502 	2.256522 	2.897397 	-1.#IND00 	-1.#IND00 	
115.000000 	382.649994 	-0.185938 	99.037498 	2.549455 	3.163540 	-1.#IND00 	-1.#IND00 	
116.000000 	383.019989 	-0.090365 	98.208336 	2.506883 	2.955729 	-1.#IND00 	-1.#IND00 	
117.000000 	383.390015 	-0.117012 	97.513885 	2.405679 	3.076737 	-1.#IND00 	-1.#IND00 	
118.000000 	383.769989 	-0.098351 	97.144447 	2.384903 	3.056076 	-1.#IND00 	-1.#IND00 	
119.000000 	384.140015 	-0.128038 	97.256943 	2.301208 	3.046181 	-1.#IND00 	-1.#IND00 	
120.000000 	384.519989 	-0.187412 	98.119446 	2.401751 	3.127431 	-1.#IND00 	-1.#IND00 	
