 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
92.000000 	374.010010 	23.675833 	94.379166 	4.749243 	3.611051 	1.606469 	1.880456 	
93.000000 	374.390015 	24.002375 	95.403122 	4.909374 	3.732744 	1.587006 	1.861009 	
94.000000 	374.760010 	23.487083 	95.729164 	4.733334 	3.694746 	1.601821 	1.849539 	
95.000000 	375.140015 	23.304251 	95.025002 	4.628977 	3.658152 	1.616300 	1.851678 	
96.000000 	375.519989 	23.630375 	94.621872 	4.669600 	3.593884 	1.621459 	1.883299 	
97.000000 	375.890015 	23.733501 	94.699997 	4.720455 	3.682066 	1.614982 	1.863414 	
98.000000 	376.269989 	23.662624 	94.628128 	4.678125 	3.682201 	1.620999 	1.860386 	
99.000000 	376.640015 	23.758501 	94.500000 	4.743182 	3.673913 	1.611232 	1.866683 	
100.000000 	377.019989 	23.798082 	94.460419 	4.855492 	3.734692 	1.589495 	1.851940 	
101.000000 	377.390015 	23.874041 	94.492706 	4.896497 	3.716531 	1.584272 	1.860001 	
102.000000 	377.769989 	23.990208 	94.426041 	4.921117 	3.883198 	1.584110 	1.820987 	
103.000000 	378.140015 	23.861250 	94.587502 	4.852272 	3.795651 	1.592809 	1.838400 	
104.000000 	378.519989 	23.833668 	94.602081 	4.884280 	3.749003 	1.585077 	1.849609 	
105.000000 	378.890015 	24.023666 	95.033333 	4.916666 	3.844928 	1.586409 	1.832285 	
106.000000 	379.269989 	23.818876 	95.109375 	4.857671 	3.781929 	1.589919 	1.840244 	
107.000000 	379.640015 	23.942875 	95.021873 	4.982670 	3.916712 	1.569705 	1.810418 	
108.000000 	380.019989 	24.044790 	95.230209 	5.047632 	3.947509 	1.560999 	1.806834 	
109.000000 	380.399994 	23.841249 	95.181252 	4.994887 	3.902447 	1.563002 	1.809814 	
110.000000 	380.769989 	23.885084 	94.885414 	4.989015 	3.835235 	1.566016 	1.829023 	
111.000000 	381.149994 	24.318708 	96.051041 	5.149527 	4.026676 	1.552341 	1.798305 	
112.000000 	381.519989 	23.968250 	97.125000 	5.109091 	4.021739 	1.545709 	1.785016 	
113.000000 	381.899994 	23.359041 	96.217712 	4.859565 	3.762726 	1.570035 	1.825840 	
114.000000 	382.269989 	23.740501 	95.187500 	4.939205 	3.891305 	1.569978 	1.808438 	
115.000000 	382.649994 	24.554333 	96.816666 	5.188447 	4.078986 	1.554454 	1.795040 	
116.000000 	383.019989 	23.550499 	96.093750 	4.998862 	3.961142 	1.549937 	1.782615 	
117.000000 	383.390015 	23.881042 	95.355209 	5.127747 	4.038814 	1.538419 	1.777134 	
118.000000 	383.769989 	24.048624 	94.978127 	4.992898 	4.093614 	1.572061 	1.770650 	
119.000000 	384.140015 	24.168417 	95.039581 	5.053030 	4.071830 	1.565058 	1.780954 	
120.000000 	384.519989 	24.424919 	95.795830 	5.214963 	4.204168 	1.544072 	1.759527 	
121.000000 	384.890015 	24.013792 	95.361458 	5.119224 	4.172781 	1.545626 	1.750046 	
122.000000 	385.269989 	24.252625 	94.903122 	5.178694 	4.216441 	1.543972 	1.749533 	
123.000000 	385.640015 	24.352293 	94.892708 	5.112406 	4.289900 	1.560956 	1.736362 	
124.000000 	386.019989 	24.410707 	95.038544 	5.121119 	4.225588 	1.561649 	1.753863 	
125.000000 	386.390015 	24.472000 	95.293747 	5.198296 	4.312772 	1.549199 	1.735949 	
126.000000 	386.769989 	24.429543 	95.048958 	5.302178 	4.444520 	1.527676 	1.704121 	
127.000000 	387.140015 	24.445791 	94.986458 	5.241381 	4.292345 	1.539873 	1.739625 	
128.000000 	387.519989 	24.558500 	94.893753 	5.316478 	4.362772 	1.530247 	1.727950 	
129.000000 	387.890015 	24.655207 	95.069794 	5.322252 	4.450315 	1.533091 	1.712013 	
130.000000 	388.269989 	24.559708 	95.038544 	5.245549 	4.289719 	1.543727 	1.744886 	
131.000000 	388.640015 	24.635250 	95.125000 	5.343750 	4.311957 	1.528251 	1.742787 	
132.000000 	389.010010 	24.694876 	95.140625 	5.417899 	4.386006 	1.516888 	1.728177 	
133.000000 	389.390015 	24.729250 	95.150002 	5.447159 	4.510326 	1.512893 	1.701617 	
134.000000 	389.760010 	24.707666 	95.008331 	5.370644 	4.479711 	1.526166 	1.707555 	
135.000000 	390.140015 	24.851873 	94.815628 	5.513920 	4.516439 	1.505657 	1.705209 	
136.000000 	390.510010 	24.882376 	94.809372 	5.523012 	4.539538 	1.505236 	1.701334 	
137.000000 	390.890015 	24.943041 	94.867706 	5.487404 	4.502943 	1.514140 	1.711864 	
138.000000 	391.260010 	24.942375 	95.015625 	5.556535 	4.650137 	1.501594 	1.679672 	
139.000000 	391.630005 	24.869835 	95.041664 	5.518561 	4.569747 	1.505538 	1.694198 	
140.000000 	392.010010 	24.982248 	95.087502 	5.662500 	4.634782 	1.484300 	1.684576 	
141.000000 	392.380005 	25.047251 	94.981247 	5.614204 	4.722553 	1.495464 	1.668415 	
142.000000 	392.760010 	25.097958 	94.907295 	5.643844 	4.754665 	1.492221 	1.663660 	
143.000000 	393.130005 	25.086084 	94.904167 	5.567992 	4.738769 	1.505279 	1.666536 	
144.000000 	393.500000 	25.168751 	94.900002 	5.611365 	4.740762 	1.500809 	1.669405 	
145.000000 	393.880005 	25.230415 	95.114586 	5.655870 	4.784872 	1.495356 	1.662591 	
146.000000 	394.250000 	25.305832 	95.660416 	5.802651 	4.878169 	1.472720 	1.646265 	
147.000000 	394.630005 	25.044292 	95.523956 	5.665814 	4.837454 	1.486195 	1.644257 	
148.000000 	395.000000 	25.221876 	95.334373 	5.763921 	4.856930 	1.476094 	1.647305 	
149.000000 	395.369995 	25.191334 	95.141663 	5.799811 	4.900725 	1.468675 	1.637117 	
150.000000 	395.750000 	25.412542 	94.980209 	5.842519 	4.945334 	1.470081 	1.636798 	
151.000000 	396.119995 	25.526625 	95.096878 	5.879829 	5.102037 	1.468194 	1.610082 	
152.000000 	396.489990 	25.549751 	95.268753 	5.829546 	5.129619 	1.477688 	1.605596 	
153.000000 	396.869995 	25.569166 	95.495834 	5.902462 	5.149276 	1.466018 	1.602531 	
154.000000 	397.239990 	25.580667 	95.708336 	5.998484 	5.161775 	1.450330 	1.600556 	
155.000000 	397.619995 	25.549835 	95.779167 	5.948675 	5.194204 	1.457462 	1.593088 	
156.000000 	397.989990 	25.862667 	96.314583 	6.125189 	5.433242 	1.440391 	1.560264 	
