 Number	Time[sec]	Conduct[uS]	TempWater[C]
    393	  3189.98	      18.19	      23.00	
    394	  3198.08	      18.18	      23.00	
    395	  3206.18	      18.18	      23.00	
    396	  3214.28	      18.18	      23.00	
    397	  3222.38	      18.18	      23.00	
    398	  3230.48	      18.18	      23.00	
    399	  3238.58	      18.18	      23.00	
    400	  3246.68	      18.18	      23.00	
    401	  3254.78	      18.18	      23.00	
    402	  3262.88	      18.18	      23.00	
    403	  3270.98	      18.18	      23.00	
    404	  3279.08	      18.18	      23.00	
    405	  3287.18	      18.18	      23.00	
    406	  3295.28	      18.17	      23.00	
    407	  3303.38	      18.17	      23.00	
    408	  3311.48	      18.18	      23.00	
    409	  3319.58	      18.17	      23.00	
    410	  3327.68	      18.17	      23.00	
    411	  3335.78	      18.17	      23.00	
    412	  3343.88	      18.17	      23.00	
    413	  3351.98	      18.18	      23.00	
    414	  3360.08	      18.18	      23.00	
    415	  3368.18	      18.17	      23.00	
    416	  3376.28	      18.17	      23.00	
    417	  3384.38	      18.17	      23.00	
    418	  3392.48	      18.17	      23.00	
    419	  3400.58	      18.17	      23.00	
    420	  3408.68	      18.17	      23.00	
    421	  3416.78	      18.17	      23.00	
    422	  3424.88	      18.17	      23.00	
    423	  3432.98	      18.17	      23.00	
    424	  3441.08	      18.17	      23.00	
    425	  3449.18	      18.17	      23.00	
    426	  3457.28	      18.17	      23.00	
    427	  3465.38	      18.17	      23.00	
    428	  3473.48	      18.17	      23.00	
    429	  3481.58	      18.17	      23.00	
    430	  3489.68	      18.17	      23.00	
    431	  3497.78	      18.17	      23.00	
    432	  3505.88	      18.17	      23.00	
    433	  3513.98	      18.16	      23.00	
    434	  3522.08	      18.17	      23.00	
    435	  3530.18	      18.16	      23.00	
    436	  3538.28	      18.16	      23.00	
    437	  3546.38	      18.16	      23.00	
    438	  3554.48	      18.16	      23.00	
    439	  3562.58	      18.16	      23.00	
    440	  3570.68	      18.16	      23.00	
    441	  3578.78	      18.16	      23.00	
    442	  3586.88	      18.17	      23.00	
    443	  3594.98	      18.16	      23.00	
    444	  3603.08	      18.17	      23.00	
    445	  3611.18	      18.17	      23.00	
    446	  3619.28	      18.17	      23.00	
    447	  3627.38	      18.16	      23.00	
    448	  3635.48	      18.16	      23.00	
    449	  3643.58	      18.16	      23.00	
    450	  3651.68	      18.16	      23.00	
    451	  3659.78	      18.16	      23.00	
    452	  3667.88	      18.16	      23.00	
    453	  3675.98	      18.16	      23.00	
    454	  3684.08	      18.16	      23.00	
    455	  3692.18	      18.17	      23.10	
    456	  3700.28	      18.16	      23.10	
    457	  3708.38	      18.16	      23.10	
    458	  3716.48	      18.16	      23.10	
    459	  3724.58	      18.16	      23.10	
    460	  3732.68	      18.16	      23.10	
    461	  3740.78	      18.16	      23.10	
    462	  3748.88	      18.16	      23.10	
    463	  3756.98	      18.16	      23.10	
